School_name,Sector,Latitude,Longitude,school_category,school_owner,total_students
GS KIVUYE,Kivuye,-1.49231,29.93058,NINE_TWELVE_YBE_GS,CATHOLIC,1518.0
CS RUGARAMBIRO,Kivuye,-1.40958,29.884,PRIMARY,EAR,415.0
EP MURWA,Kivuye,-1.46736,29.87769,PRIMARY,EAR,526.0
EP BUHITA I,Kivuye,-1.4850277,29.9071666,PRIMARY,EAR,521.0
ST PAUL MURWA TVET SCHOOL,Kivuye,-1.46736,29.87769,TVET,EAR,150.0
CYAVE,Nemba,-1.56647,29.83931,PRIMARY,GoR,1008.0
GS KIGEYO,Nemba,-1.60544,29.88331,NINE_TWELVE_YBE_GS,GoR,1825.0
GS MUGANO,Nemba,-1.60433,29.86117,NINE_TWELVE_YBE_GS,CATHOLIC,854.0
GS RUSHARA,Nemba,-1.55308,29.84978,NINE_TWELVE_YBE_GS,GoR,1095.0
EP KARAMBI,Nemba,-1.573793,29.870828,PRIMARY,GoR,763.0
NEMBA I,Nemba,-1.55733,29.86197,PRIMARY,EAR,463.0
NEMBAII,Nemba,-1.57122,29.86639,PRIMARY,GoR,638.0
RUBONA,Nemba,-1.57908,29.88139,PRIMARY,GoR,611.0
GS BURERA,Rugarama,-1.42064,29.7463055,NINE_TWELVE_YBE_GS,CATHOLIC,1120.0
CEPEM,Rugarama,-1.4223333,29.7233611,TVET,PARENTS,276.0
EP CYAHI,Rugarama,-1.4168333,29.71725,PRIMARY,EAR,737.0
EP GAFUMBA,Rugarama,-1.4196388,29.7289722,PRIMARY,EAR,722.0
GS MAYA II,Rugarama,-1.43064,29.71678,NINE_TWELVE_YBE_GS,SDA,691.0
GS RUGARAMA,Rugarama,-1.40706,29.73625,NINE_TWELVE_YBE_GS,OTHERS,1508.0
EP KARANGARA,Rugarama,-1.42039,29.7045,PRIMARY,CATHOLIC,1232.0
EP MAYA I,Rugarama,-1.4402777,29.70925,PRIMARY,EAR,903.0
GS MUCACA,Rugengabari,-1.55672,29.80014,NINE_TWELVE_YBE_GS,GoR,1663.0
EP KIRIBATA,Rugengabari,-1.54475,29.784,PRIMARY,GoR,792.0
EP KABIRA,Rugengabari,-1.5250767,29.8141283,PRIMARY,GoR,526.0
EP BURAGO,Rugengabari,-1.55863,29.78198,PRIMARY,GoR,696.0
GS RUSARABUGE,Rugengabari,-1.470247,29.739866,NINE_TWELVE_YBE_GS,CATHOLIC,1128.0
GITOVU,Ruhunde,-1.58519,29.915,PRIMARY,GoR,899.0
GS GASEKE,Ruhunde,-1.56681,29.89178,NINE_TWELVE_YBE_GS,GoR,1519.0
GS RUSEKERA,Ruhunde,-1.57244,29.94133,NINE_TWELVE_YBE_GS,GoR,1289.0
RUHUNDE,Ruhunde,-1.5595,29.93411,PRIMARY,GoR,537.0
EP GATARE,Ruhunde,-1.5178298,29.9502397,PRIMARY,GoR,470.0
EP MUNANIRA,Rusarabuye,-1.42735,29.8058,PRIMARY,SDA,570.0
BISAYU,Rusarabuye,-1.45544,29.82192,PRIMARY,CATHOLIC,936.0
BUMBA NURSERY,Rusarabuye,-1.45125,29.82792,PRIMARY,SDA,77.0
GS NDAGO,Rusarabuye,-1.46542,29.80956,NINE_TWELVE_YBE_GS,GoR,1380.0
GS RUHANGA,Rusarabuye,-1.46344,29.83867,NINE_TWELVE_YBE_GS,GoR,1602.0
KABONA,Rusarabuye,-1.4516111,29.8294166,PRIMARY,GoR,692.0
KIBUYE NURSERY,Rusarabuye,-1.47622,29.84686,PRIMARY,,22.0
MUSEBEYA NURSERY,Rusarabuye,-1.43083,29.83733,PRIMARY,PARENTS,2.0
NYARUNGU,Rusarabuye,-1.48531,29.83214,PRIMARY,ADEPR,433.0
EP RUGEZI,Rwerere,-1.506242,29.880298,PRIMARY,GoR,349.0
EP GACUNDURA,Rwerere,-1.50258,29.85636,PRIMARY,EAR,569.0
GS CYAPA,Rwerere,-1.49742,29.86317,NINE_TWELVE_YBE_GS,GoR,1527.0
GS RUGALI,Rwerere,-1.54194,29.87286,NINE_TWELVE_YBE_GS,GoR,1296.0
E.P BISAGA,Rwerere,-1.477911,29.865762,PRIMARY,EAR,641.0
EP RWERERE,Rwerere,-1.52972,29.88194,PRIMARY,GoR,766.0
EP TUMBA,Bungwe,-1.51256,29.96956,PRIMARY,GoR,859.0
EP MBUGA,Bungwe,-1.460833,29.972185,PRIMARY,GoR,489.0
EP BUTARO,Butaro,-1.41853,29.82994,PRIMARY,GoR,711.0
GS BUYANGA,Butaro,-1.41094,29.82042,NINE_TWELVE_YBE_GS,GoR,849.0
ES RUNABA,Butaro,-1.40008,29.84167,SECONDARY,CATHOLIC,576.0
EP GASEBEYA,Butaro,-1.38531,29.84703,PRIMARY,EAR,1367.0
GS MUHOTORA,Butaro,-1.43631,29.86036,NINE_TWELVE_YBE_GS,EAR,1570.0
GS NYAMICUCU,Butaro,-1.39136,29.87314,NINE_TWELVE_YBE_GS,GoR,1618.0
GS RUNABA,Butaro,-1.40008,29.84167,NINE_TWELVE_YBE_GS,CATHOLIC,1921.0
EP KABYAZA,Butaro,-1.41536,29.85256,PRIMARY,GoR,865.0
GS NYAMIYAGA,Butaro,-1.37194,29.85028,NINE_TWELVE_YBE_GS,CATHOLIC,878.0
COLLEGE GEORGES FOX DE BUTARO,Butaro,-1.419258,29.831952,TVET,OTHERS,158.0
OASIS OF NATIONS,Butaro,-1.411252,29.849681,PRIMARY,OTHERS,205.0
GS BUTETE,Cyanika,-1.38897,29.73731,NINE_TWELVE_YBE_GS,CATHOLIC,2266.0
GS CYANIKA,Cyanika,-1.34522,29.72975,NINE_TWELVE_YBE_GS,CATHOLIC,1070.0
EP GITARAGA,Cyanika,-1.39911,29.72581,PRIMARY,CATHOLIC,1554.0
GS KAGITEGA,Cyanika,-1.37197,29.73042,NINE_TWELVE_YBE_GS,EAR,1628.0
MUGARAMA,Cyanika,-1.38861,29.71303,PRIMARY,CATHOLIC,1032.0
RUKO,Cyanika,-1.37367,29.72094,PRIMARY,CATHOLIC,1972.0
WISDOM SCHOOL,Cyanika,-1.4739,29.8347,PRIMARY,OTHERS,128.0
FAMILY FOUNDATION,Cyanika,-1.359576,29.748625,PRIMARY,OTHERS,341.0
CYANIKA II PRIMARY SCHOOL,Cyanika,-1.349904,29.749915,PRIMARY,GoR,847.0
EP RUHIMBI,Cyanika,-1.401103,29.747584,PRIMARY,SDA,651.0
EP MUNINI,Cyanika,-1.376762,29.743449,PRIMARY,GoR,1218.0
EP BYUMBA,Cyeru,-1.52025,29.83456,PRIMARY,CATHOLIC,1275.0
ENP/TTC KIRAMBO,Cyeru,-1.508322,29.843481,TTC,CATHOLIC,702.0
ES KIRAMBO,Cyeru,-1.49733,29.83417,SECONDARY,GoR,842.0
GS JEAN DE LA MENNAIS KIRAMBO,Cyeru,-1.50794,29.843,NINE_TWELVE_YBE_GS,CATHOLIC,1354.0
EP KIRAMBO,Cyeru,-1.49744,29.83369,PRIMARY,GoR,1160.0
GS RUYANGE I,Cyeru,-1.49547,29.81044,NINE_TWELVE_YBE_GS,CATHOLIC,922.0
EP AMIZERO,Cyeru,-1.48814,29.73343,PRIMARY,GoR,746.0
EP IREBERO,Cyeru,-1.449239126,29.823956,PRIMARY,GoR,404.0
ES GAHUNGA,Gahunga,-1.44258,29.70694,TVET,ADEPR,661.0
EP GATETE,Gahunga,-1.439,29.67203,PRIMARY,EAR,1344.0
EP KABAYA,Gahunga,-1.44931,29.708,PRIMARY,CATHOLIC,890.0
EP MUSANZU,Gahunga,-1.42611,29.69414,PRIMARY,EAR,801.0
GS NYANGWE,Gahunga,-1.42833,29.68333,NINE_TWELVE_YBE_GS,CATHOLIC,1463.0
GAHUNGA MODERN SCHOOL,Gahunga,-1.457,29.682,PRIMARY,OTHERS,439.0
EP RWAMBOGO,Gatebe,-1.53484,29.96021,PRIMARY,GoR,622.0
EP ICYIZERE,Gatebe,-1.569747,29.979359,PRIMARY,GoR,452.0
GS RUYANGE II,Gatebe,-1.55842,29.97672,NINE_TWELVE_YBE_GS,GoR,868.0
GS RWASA,Gatebe,-1.52172,29.92406,NINE_TWELVE_YBE_GS,CATHOLIC,1086.0
EP TABA,Gatebe,-1.5500567,29.966385,PRIMARY,EAR,597.0
EP GATEBE,Gatebe,-1.51553,29.942,PRIMARY,CATHOLIC,956.0
GS GICURA,Gitovu,-1.52422,29.78461,NINE_TWELVE_YBE_GS,GoR,1692.0
GS MUSASA,Gitovu,-1.49411,29.76278,NINE_TWELVE_YBE_GS,GoR,825.0
GS KIBOGA,Gitovu,-1.49083,29.79758,NINE_TWELVE_YBE_GS,GoR,772.0
EP RUHOMBO,Gitovu,-1.50908,29.77589,PRIMARY,GoR,560.0
ES KAGOGO,Kagogo,-1.38999,29.72731,SECONDARY,EAR,713.0
EP GITARE I,Kagogo,-1.38767,29.76292,PRIMARY,CATHOLIC,1053.0
EP KANABA,Kagogo,-1.381846,29.793859,PRIMARY,GoR,293.0
GS GITARE II,Kagogo,-1.39478,29.75778,NINE_TWELVE_YBE_GS,EAR,1224.0
GS KAGOGO,Kagogo,-1.38436,29.77844,NINE_TWELVE_YBE_GS,EAR,995.0
GS KAYENZI,Kagogo,-1.367,29.75881,NINE_TWELVE_YBE_GS,CATHOLIC,1045.0
EP SOZI,Kagogo,-1.37631,29.77956,PRIMARY,CATHOLIC,819.0
EP BIRWA I,Kinoni,-1.46975,29.76886,PRIMARY,GoR,65.0
ET KARUGANDA,Kinoni,-1.4694,29.7414,TVET,EAR,721.0
GS KARUGANDA,Kinoni,-1.46944,29.74028,NINE_TWELVE_YBE_GS,EAR,1639.0
GS KINONI,Kinoni,-1.43956,29.72853,NINE_TWELVE_YBE_GS,CATHOLIC,2071.0
MWIKO,Kinoni,-1.45567,29.74653,PRIMARY,CATHOLIC,750.0
EP NKUMBA I,Kinoni,-1.46153,29.71922,PRIMARY,CATHOLIC,761.0
NTARUKA FISHER,Kinoni,-1.47036,29.73747,PRIMARY,PARENTS,354.0
PETIT SEMINAIRE SAINT JEAN NKUMBA,Kinoni,-1.47245,29.72171,SECONDARY,CATHOLIC,449.0
EP NKUMBA II,Kinoni,-1.4615,29.71918,PRIMARY,CATHOLIC,709.0
GS RUTOVU,Kinyababa,-1.34636,29.82308,NINE_TWELVE_YBE_GS,CATHOLIC,1294.0
GROUPE SCOLAIRE NYABIZI,Kinyababa,-1.32483,29.82989,NINE_TWELVE_YBE_GS,CATHOLIC,705.0
GS KINYABABA,Kinyababa,-1.37842,29.80964,NINE_TWELVE_YBE_GS,CATHOLIC,1450.0
GS KAGANDA,Kinyababa,-1.41561,29.79278,NINE_TWELVE_YBE_GS,CATHOLIC,1106.0
CENTRE SCOLAIRE MURAMBO,Kinyababa,-1.36222,29.80706,PRIMARY,EAR,1068.0
CENTRE SCOLAIRE KAVUMU,Kinyababa,-1.35494,29.823,PRIMARY,CATHOLIC,558.0
EP GAKO,Kinyababa,-1.393503,29.803679,PRIMARY,GoR,364.0
EP MARIKO,Kinyababa,-1.415148,29.806573,PRIMARY,GoR,356.0
EP BURANGO,Kivuye,-1.4665,29.90489,PRIMARY,GoR,377.0
GS BUHITA II,Kivuye,-1.45108,29.87092,NINE_TWELVE_YBE_GS,CATHOLIC,832.0
EP MUSHUNGA,Kivuye,-1.480528,29.9394,PRIMARY,GoR,407.0
GS BUTANDI,Kivuye,-1.44472,29.89278,NINE_TWELVE_YBE_GS,CATHOLIC,810.0
EP RUGENDABARE,Rugengabari,-1.544523,29.799543,PRIMARY,EAR,1188.0
KABONA TSS,Rusarabuye,-1.445063333,29.83141667,TVET,GoR,329.0
APAPEDUC BUNGWE,Bungwe,-1.5052222,29.9728055,SECONDARY,GoR,544.0
GS BUSHENYA,Bungwe,-1.477,29.9678888,NINE_TWELVE_YBE_GS,CATHOLIC,539.0
GS BUNGWE,Bungwe,-1.50252,29.97343,NINE_TWELVE_YBE_GS,CATHOLIC,1335.0
INKURUNZIZA NURSERY,Bungwe,-1.52033,29.96003,PRE_PRIMARY,GoR,
EP MUDUGALI,Bungwe,-1.48333,29.95694,PRIMARY,GoR,548.0
EP NYABYONDO,Bungwe,-1.48875,29.9720833,PRIMARY,EAR,464.0
EP MURAMBO,Bungwe,-1.509685,29.98718333,PRIMARY,GoR,382.0
EP KILINGA,Butaro,-1.362367,29.878882,PRIMARY,EAR,466.0
EP NYAMIYAGA II,Butaro,-1.356275,29.857055,PRIMARY,EAR,463.0
ES KIDAHO,Cyanika,-1.378745,29.74452,SECONDARY,EAR,226.0
EP GASIZA,Cyanika,-1.352368333,29.71496167,PRIMARY,GoR,652.0
CYANIKA TVET SCHOOL,Cyanika,-1.374848333,29.74541167,TVET,GoR,202.0
GS GAHUNGA,Gahunga,-1.45012,29.679132,NINE_TWELVE_YBE_GS,CATHOLIC,1716.0
EP GABIRO,Gatebe,-1.5224,29.935955,PRIMARY,SDA,493.0
CS MUBUGA,Gitovu,-1.515588333,29.80749667,PRIMARY,GoR,507.0
EP URUMURI,Gitovu,-1.485056667,29.75597167,PRIMARY,GoR,241.0
EP KAYENZI II,Kagogo,-1.353925,29.76658833,PRIMARY,GoR,441.0
Universiy of Global Health Equity(UGHE) Butaro,BUTARO,-1.410926336,29.85070397,UNiversity,,
